,Tweets,date,source,likes,retweet,image_url
455,"# Olivia remains a hurricane several hundred miles east of Hawaii. Heavy rainfall, gusty winds and choppy surf will peak Tuesday night into Wednesday. More: https://wxch.nl/2CvmOEw pic.twitter.com/nSEAfAdopW",1536613573,https://twitter.com/weatherchannel/status/1039258769581133824,68,57,https://pbs.twimg.com/media/Dmwv5i7UcAAiq_n.jpg
456,Here's the latest on Hurricane # Isaac: - Modest strengthening is likely into midweek - Hurricane or tropical storm watches will be necessary by Tuesday in the Lesser Antilles - Large changes in the system are possible due to the storm's size More: https://wxch.nl/2oUEcsp pic.twitter.com/iPzAfyzlYj,1536612738,https://twitter.com/weatherchannel/status/1039255267257589772,127,101,https://pbs.twimg.com/media/DmwtIs_U0AA97EC.jpg
457,# BREAKING - South Carolina Governor @ henrymcmaster has issued evacuations for all hurricane evacuation zones for all coastal counties beginning at 12:00pET Tuesday as # Hurricane # Florence eyes the East Coast. Our LIVE 24/7 coverage continues.pic.twitter.com/eqV5vM17SI,1536607097,https://twitter.com/weatherchannel/status/1039231607041875968,247,234,https://pbs.twimg.com/media/DmwXUihXcAA3v33.jpg
458,"Crews are LIVE in the field as # Hurricane # Florence nears the East Coast. @ JimCantore, @ TevinWooten, @ TWCAlexWallace, @ mikebettes, @ mikeseidel, @ StephanieAbrams, @ JenCarfagno, @ Paul_Goodloe, @ TWCChrisBruin, @ TWCChrisWarren, @ TWCAlexWilson, @ ReynoldsWolf, @ malkoff & @ JMichaelsNewspic.twitter.com/7LVnRyA5UW",1536603859,https://twitter.com/weatherchannel/status/1039218023763243009,366,146,https://pbs.twimg.com/media/DmwJC4cXgAAP2c_.jpg
459,# Florence is now a Category 4 Hurricane. Stay tuned for the latest updates throughout the storm.https://twitter.com/StuOstro/status/1039182116469268480 …,1536595621,https://twitter.com/weatherchannel/status/1039183470495444993,559,419,
460,"# Florence is now a major category 3 hurricane. It could bring life-threatening storm surge, freshwater flooding & damaging hurricane-force wind to parts of the East Coast. @ TWCErikaNavarro, @ TWCAlexWallace & @ kellycass are LIVE now with the latest as our 24/7 coverage continues.pic.twitter.com/nmXZtYthJn",1536593751,https://twitter.com/weatherchannel/status/1039175630657675264,133,128,https://pbs.twimg.com/media/DmvjtHsX4AEyNIh.jpg
461,JUST IN: # Hurricane # Florence has rapidly intensified into a Category 3 major hurricane.pic.twitter.com/lL5smMnPn0,1536591039,https://twitter.com/weatherchannel/status/1039164254622953472,508,437,https://pbs.twimg.com/media/DmvaYdQU4AAXsSC.jpg
462,# Olivia is expected to arrive in Hawaii as a tropical storm by midweek with heavy rain and strong winds: https://wxch.nl/2NtFOrg pic.twitter.com/obZV0jS47z,1536585960,https://twitter.com/weatherchannel/status/1039142950070972416,105,60,https://pbs.twimg.com/media/Dmum7qIUwAEPnwU.jpg
463,"# Typhoon # Mangkhut is pounding the Mariana Islands, including Guam where wind gusts have topped 80 mph: https://wxch.nl/2Qg9mHg pic.twitter.com/YiHnqedJaz",1536582720,https://twitter.com/weatherchannel/status/1039129360932978689,99,64,https://pbs.twimg.com/media/DmumZA6U8AEt81t.jpg
464,"# Hurricane # Florence Likely to Strike the U.S. East Coast With Life-Threatening Storm Surge, Destructive Winds, Massive Rainfall # Flooding. Our latest, complete forecast: https://wxch.nl/2wZ5SzX pic.twitter.com/V4bArfaYfZ",1536578689,https://twitter.com/weatherchannel/status/1039112455799144448,301,262,https://pbs.twimg.com/media/DmurOAaX4AAZIb6.jpg
